Shipment ID,Order ID,Sender ID,Receiver ID,Sender Location,Receiver Location,Courier Service,Delivery Hub,Shipment Weight (kg),Distance (km),Estimated Delivery (days),Actual Delivery (days),Shipment Status,Current Location,Shipping Cost,Payment Status,Tracking Number,Customer Rating,Review Comments
SHIP365019,ORD115357,SND8479,RCV2478,Delhi,Pune,UPS,Kolkata Hub,13.11,1913.9,3,2,Delayed,Ahmedabad,279.97,Pending,TRK687632,,
SHIP396623,ORD308658,SND1271,RCV9891,Hyderabad,Chennai,FedEx,Bangalore Hub,17.45,1638.24,9,9,Delayed,Chennai,340.69,Failed,TRK713851,,
SHIP610186,ORD481949,SND3306,RCV2557,Hyderabad,Kolkata,DTDC,Chennai Hub,14.32,908.34,10,13,Returned,Pune,1050.53,Failed,TRK669538,,
SHIP277523,ORD850829,SND5451,RCV2362,Mumbai,Pune,India Post,Chennai Hub,14.67,56.81,10,13,Out for Delivery,Mumbai,1625.85,Failed,TRK958156,,
SHIP368321,ORD177804,SND9961,RCV6708,Hyderabad,Ahmedabad,India Post,Kolkata Hub,17.81,701.06,6,9,Lost,Bangalore,1065.3,Paid,TRK443552,,
SHIP509167,ORD104142,SND2134,RCV4907,Ahmedabad,Mumbai,Amazon Logistics,Bangalore Hub,5.6,437.31,3,5,Delivered,Mumbai,1467.58,Paid,TRK939660,4.9,Great experience
SHIP810758,ORD507254,SND1678,RCV3395,Hyderabad,Bangalore,DTDC,Delhi Hub,11.25,829.7,6,4,Lost,Pune,1831.4,Paid,TRK843388,,
SHIP513305,ORD136654,SND3373,RCV4476,Mumbai,Mumbai,India Post,Hyderabad Hub,4.21,777.4,3,2,Lost,Kolkata,1374.35,Failed,TRK134507,,
SHIP778087,ORD336836,SND7060,RCV2508,Pune,Mumbai,Blue Dart,Kolkata Hub,17.13,688.86,3,5,Delayed,Hyderabad,435.86,Failed,TRK491137,,
SHIP798629,ORD289704,SND4402,RCV9650,Pune,Hyderabad,India Post,Hyderabad Hub,7.13,1773.87,7,8,Returned,Pune,1364.18,Pending,TRK124227,,
SHIP624787,ORD187248,SND2872,RCV2842,Pune,Ahmedabad,India Post,Delhi Hub,5.27,1296.15,5,7,Delayed,Kolkata,1627.09,Failed,TRK506044,,
SHIP746030,ORD352960,SND4134,RCV3948,Pune,Bangalore,DTDC,Delhi Hub,8.71,248.76,7,10,Delayed,Ahmedabad,1042.53,Pending,TRK450096,,
SHIP494319,ORD216436,SND4603,RCV1135,Bangalore,Hyderabad,FedEx,Bangalore Hub,15.7,257.98,8,9,In Transit,Chennai,1051.95,Paid,TRK237198,,
SHIP373989,ORD557455,SND4572,RCV5304,Kolkata,Pune,DHL,Kolkata Hub,4.08,206.97,6,6,Delayed,Kolkata,1349.75,Failed,TRK442365,,
SHIP206356,ORD231556,SND7902,RCV6186,Pune,Hyderabad,DHL,Bangalore Hub,8.65,1213.55,1,1,Returned,Kolkata,783.86,Paid,TRK659607,,
SHIP903278,ORD118077,SND2827,RCV8609,Chennai,Chennai,UPS,Hyderabad Hub,4.96,1205.34,9,9,Delivered,Chennai,1248.75,Paid,TRK125395,1.3,Fast delivery!
SHIP174805,ORD316777,SND9194,RCV7462,Ahmedabad,Delhi,Amazon Logistics,Mumbai Hub,3.72,157.88,3,4,Delivered,Delhi,705.86,Failed,TRK273259,3.7,Fast delivery!
SHIP934285,ORD346013,SND5742,RCV9247,Mumbai,Kolkata,Blue Dart,Mumbai Hub,0.92,1329.21,9,7,Returned,Pune,837.51,Failed,TRK902466,,
SHIP247067,ORD350034,SND7060,RCV9536,Ahmedabad,Pune,India Post,Kolkata Hub,12.42,1605.71,2,1,Delivered,Pune,763.68,Paid,TRK870218,3.3,On-time service
SHIP486389,ORD308278,SND4896,RCV6928,Delhi,Kolkata,Amazon Logistics,Chennai Hub,18.94,617.14,9,9,In Transit,Pune,1018.18,Paid,TRK382609,,
SHIP438720,ORD899598,SND1791,RCV5415,Bangalore,Chennai,DTDC,Hyderabad Hub,12.08,623.39,4,7,In Transit,Kolkata,311.01,Paid,TRK972453,,
SHIP979263,ORD586702,SND6915,RCV9228,Hyderabad,Kolkata,India Post,Kolkata Hub,8.99,1307.8,8,6,Delivered,Kolkata,1761.93,Failed,TRK645031,2.5,
SHIP972691,ORD406295,SND3206,RCV7970,Hyderabad,Chennai,India Post,Kolkata Hub,12.09,563.75,9,12,Lost,Bangalore,1259.79,Failed,TRK460076,,
SHIP620745,ORD354527,SND4127,RCV5337,Mumbai,Kolkata,FedEx,Delhi Hub,9.66,1496.46,10,11,Lost,Ahmedabad,402.66,Pending,TRK212119,,
SHIP303078,ORD653113,SND3103,RCV9482,Kolkata,Ahmedabad,DTDC,Bangalore Hub,13.51,430.96,7,5,Out for Delivery,Delhi,1850.52,Failed,TRK581690,,
SHIP422169,ORD675115,SND8180,RCV1366,Ahmedabad,Hyderabad,Blue Dart,Mumbai Hub,15.05,282.78,7,10,Out for Delivery,Chennai,1884.34,Pending,TRK730988,,
SHIP157123,ORD586830,SND2189,RCV8118,Mumbai,Pune,Blue Dart,Hyderabad Hub,16.22,1576.08,6,8,Delivered,Pune,1591.82,Pending,TRK996314,4.3,On-time service
SHIP972317,ORD806362,SND7219,RCV8985,Pune,Chennai,DHL,Bangalore Hub,4.61,428.43,7,8,Returned,Kolkata,602.03,Paid,TRK226850,,
SHIP830632,ORD778701,SND3009,RCV9653,Mumbai,Mumbai,FedEx,Delhi Hub,10.36,293.96,6,4,Delivered,Mumbai,1852.65,Failed,TRK197312,4.7,Fast delivery!
SHIP543453,ORD616012,SND5570,RCV3558,Delhi,Kolkata,Blue Dart,Delhi Hub,5.92,1318.45,10,13,Delivered,Kolkata,1973.74,Pending,TRK508202,3.2,
SHIP767522,ORD352323,SND1768,RCV6119,Hyderabad,Ahmedabad,DTDC,Kolkata Hub,11.83,307.99,5,8,Delayed,Delhi,251.01,Pending,TRK938617,,
SHIP932406,ORD186359,SND4921,RCV9206,Pune,Bangalore,FedEx,Delhi Hub,8.09,766.1,2,2,Returned,Bangalore,1008.85,Pending,TRK496003,,
SHIP348394,ORD958386,SND3316,RCV3280,Bangalore,Hyderabad,FedEx,Kolkata Hub,17.36,1944.83,9,7,Delayed,Delhi,301.31,Pending,TRK615211,,
SHIP249952,ORD195440,SND4493,RCV7339,Mumbai,Delhi,India Post,Hyderabad Hub,11.54,552.22,6,5,Returned,Pune,1117.11,Failed,TRK401863,,
SHIP617239,ORD643910,SND3792,RCV2444,Hyderabad,Bangalore,DTDC,Hyderabad Hub,7.45,1285.9,2,3,Returned,Kolkata,398.79,Paid,TRK287803,,
SHIP318443,ORD825055,SND1115,RCV7905,Pune,Chennai,DTDC,Delhi Hub,6.71,635.55,10,10,In Transit,Mumbai,1442,Pending,TRK740977,,
SHIP855464,ORD982227,SND8123,RCV6015,Delhi,Kolkata,Amazon Logistics,Bangalore Hub,7.33,1351.42,4,6,In Transit,Mumbai,1384.6,Failed,TRK687900,,
SHIP669079,ORD371387,SND4215,RCV2973,Chennai,Hyderabad,DTDC,Hyderabad Hub,11.41,473.83,4,2,Returned,Delhi,256.33,Pending,TRK644629,,
SHIP436518,ORD216060,SND5578,RCV4809,Kolkata,Hyderabad,Blue Dart,Bangalore Hub,1.13,314.6,3,5,Out for Delivery,Pune,1318.84,Paid,TRK354954,,
SHIP279608,ORD925186,SND3990,RCV8532,Bangalore,Pune,Amazon Logistics,Kolkata Hub,6.32,1214.95,9,11,Delivered,Pune,1656.08,Failed,TRK567218,4.2,On-time service
SHIP446842,ORD576716,SND9723,RCV5306,Kolkata,Bangalore,Amazon Logistics,Delhi Hub,13.5,1407.04,4,7,Returned,Chennai,1192.98,Pending,TRK519355,,
SHIP942595,ORD629766,SND8586,RCV5498,Pune,Ahmedabad,Blue Dart,Kolkata Hub,13.43,1830.51,7,10,Returned,Ahmedabad,1116.74,Paid,TRK597933,,
SHIP829617,ORD638116,SND7433,RCV8459,Delhi,Pune,India Post,Kolkata Hub,2.89,152.33,1,2,Delivered,Pune,984.45,Failed,TRK165573,4.9,
SHIP490188,ORD590862,SND4814,RCV6295,Bangalore,Delhi,Amazon Logistics,Bangalore Hub,15.23,224.93,4,4,In Transit,Hyderabad,944.54,Failed,TRK428881,,
SHIP643777,ORD777761,SND9797,RCV4378,Hyderabad,Chennai,Amazon Logistics,Delhi Hub,4.67,666.7,8,11,Lost,Bangalore,69.42,Pending,TRK739533,,
SHIP677163,ORD393542,SND3419,RCV7712,Ahmedabad,Delhi,Amazon Logistics,Kolkata Hub,2.84,1442.1,9,12,Lost,Pune,1402.42,Failed,TRK300531,,
SHIP617409,ORD819668,SND3238,RCV6436,Pune,Chennai,DTDC,Hyderabad Hub,8.18,666.4,8,11,Returned,Hyderabad,846.21,Failed,TRK138353,,
SHIP549902,ORD925248,SND6557,RCV4759,Ahmedabad,Mumbai,Amazon Logistics,Bangalore Hub,9.18,675.55,3,6,Out for Delivery,Mumbai,1190.53,Pending,TRK273632,,
SHIP802359,ORD271283,SND2447,RCV4418,Delhi,Hyderabad,India Post,Hyderabad Hub,0.68,75.38,4,7,Out for Delivery,Ahmedabad,765.93,Failed,TRK227390,,
SHIP349015,ORD598885,SND4568,RCV5796,Ahmedabad,Hyderabad,UPS,Hyderabad Hub,2.19,32.96,6,6,Returned,Mumbai,752.87,Failed,TRK975270,,
SHIP409938,ORD613074,SND4501,RCV8799,Kolkata,Chennai,FedEx,Delhi Hub,10.87,1315.14,1,2,Delayed,Kolkata,1941.82,Pending,TRK314660,,
SHIP124671,ORD230708,SND8550,RCV4765,Delhi,Hyderabad,FedEx,Delhi Hub,18.95,1546.28,2,5,Delivered,Hyderabad,757.07,Failed,TRK287871,1.9,On-time service
SHIP308735,ORD383507,SND2577,RCV3485,Ahmedabad,Delhi,DHL,Hyderabad Hub,9.71,674.49,9,11,Lost,Chennai,91.58,Pending,TRK242010,,
SHIP111588,ORD411047,SND7778,RCV2554,Chennai,Hyderabad,Blue Dart,Delhi Hub,11.42,1427.79,9,10,Returned,Bangalore,1154.59,Pending,TRK543219,,
SHIP362775,ORD708387,SND5758,RCV1173,Kolkata,Bangalore,Blue Dart,Hyderabad Hub,15.79,1996.65,7,5,Delivered,Bangalore,591.71,Paid,TRK300945,4.1,Late delivery
SHIP623463,ORD700000,SND9192,RCV2734,Chennai,Kolkata,DTDC,Mumbai Hub,15.66,273.9,8,9,Out for Delivery,Chennai,856.59,Pending,TRK519772,,
SHIP737929,ORD266475,SND5486,RCV3555,Chennai,Ahmedabad,DTDC,Hyderabad Hub,0.55,35.78,4,6,In Transit,Chennai,1529.56,Failed,TRK927524,,
SHIP572119,ORD373312,SND3565,RCV3962,Mumbai,Bangalore,DTDC,Mumbai Hub,14.61,1054.54,5,4,Out for Delivery,Kolkata,1939.52,Failed,TRK770240,,
SHIP746578,ORD817577,SND4680,RCV6886,Ahmedabad,Mumbai,DHL,Hyderabad Hub,15.44,502.18,8,11,Lost,Pune,641.42,Failed,TRK101457,,
SHIP708178,ORD741305,SND4419,RCV9328,Mumbai,Delhi,Blue Dart,Kolkata Hub,16.13,372.91,9,8,Returned,Mumbai,406.73,Failed,TRK601280,,
SHIP763960,ORD754900,SND9282,RCV3671,Chennai,Ahmedabad,UPS,Bangalore Hub,15.38,1525.33,10,10,Lost,Bangalore,1739.6,Pending,TRK466643,,
SHIP990011,ORD320972,SND9387,RCV1544,Chennai,Chennai,DTDC,Bangalore Hub,13.49,1193,4,7,Delivered,Chennai,239.72,Pending,TRK915703,2.7,Late delivery
SHIP595053,ORD139844,SND8600,RCV7292,Chennai,Bangalore,Amazon Logistics,Kolkata Hub,11.23,786.48,7,7,Out for Delivery,Kolkata,896.84,Paid,TRK749845,,
SHIP592754,ORD136423,SND9301,RCV6476,Pune,Chennai,Amazon Logistics,Chennai Hub,11.25,203.88,5,6,Out for Delivery,Kolkata,1762.53,Paid,TRK645825,,
SHIP607583,ORD886051,SND2232,RCV9122,Kolkata,Chennai,Blue Dart,Chennai Hub,1.54,1166.12,4,2,Lost,Ahmedabad,450.07,Failed,TRK361619,,
SHIP935439,ORD767152,SND1642,RCV7697,Mumbai,Mumbai,UPS,Bangalore Hub,1.7,521.9,8,8,Delayed,Chennai,838.99,Failed,TRK974938,,
SHIP698342,ORD206977,SND6466,RCV3414,Pune,Chennai,Blue Dart,Hyderabad Hub,14.8,1797.03,7,8,Lost,Mumbai,1585.56,Paid,TRK541197,,
SHIP762223,ORD921613,SND6564,RCV2550,Pune,Chennai,FedEx,Mumbai Hub,10.54,1919.76,6,9,In Transit,Kolkata,1772.37,Pending,TRK938812,,
SHIP975235,ORD949600,SND9011,RCV2421,Kolkata,Kolkata,FedEx,Delhi Hub,3.71,20.91,2,2,In Transit,Kolkata,1542.54,Pending,TRK879239,,
SHIP144112,ORD976382,SND4698,RCV3207,Kolkata,Pune,India Post,Hyderabad Hub,19.75,965.93,1,0,In Transit,Kolkata,1249.98,Failed,TRK619430,,
SHIP500608,ORD827905,SND5996,RCV3617,Mumbai,Bangalore,Blue Dart,Kolkata Hub,15.46,516.53,5,3,Delayed,Ahmedabad,1754.97,Paid,TRK854445,,
SHIP825372,ORD831703,SND7091,RCV4265,Chennai,Chennai,DHL,Delhi Hub,4.58,266.73,7,9,Lost,Bangalore,1940.03,Paid,TRK709186,,
SHIP855122,ORD530449,SND5012,RCV7892,Bangalore,Kolkata,India Post,Hyderabad Hub,2.75,1670.29,1,4,Lost,Ahmedabad,1778.37,Paid,TRK966819,,
SHIP324638,ORD161855,SND9436,RCV4989,Chennai,Pune,FedEx,Mumbai Hub,13.83,637.4,8,7,In Transit,Chennai,707.55,Pending,TRK181069,,
SHIP636424,ORD188663,SND7971,RCV2298,Chennai,Kolkata,FedEx,Delhi Hub,12.95,1480.89,8,11,Lost,Pune,1660.54,Failed,TRK355395,,
SHIP949962,ORD138760,SND5541,RCV3535,Mumbai,Ahmedabad,Blue Dart,Chennai Hub,5.24,654.24,7,5,Lost,Bangalore,1198.7,Pending,TRK239995,,
SHIP409517,ORD755468,SND1434,RCV2935,Delhi,Pune,India Post,Mumbai Hub,1.04,893.83,6,5,Delivered,Pune,680.44,Failed,TRK472918,4,Package damaged
SHIP836370,ORD563179,SND9490,RCV3780,Ahmedabad,Ahmedabad,Amazon Logistics,Delhi Hub,4.48,61.8,2,1,Returned,Ahmedabad,1625.79,Pending,TRK765391,,
SHIP821758,ORD692989,SND5828,RCV8055,Pune,Ahmedabad,Blue Dart,Chennai Hub,7.83,1754.39,1,0,Returned,Delhi,234.01,Failed,TRK302223,,
SHIP792522,ORD396411,SND2462,RCV5349,Ahmedabad,Mumbai,DTDC,Hyderabad Hub,11.99,1106.86,2,5,Returned,Ahmedabad,1561.63,Failed,TRK368683,,
SHIP168169,ORD517987,SND7341,RCV9449,Kolkata,Mumbai,DTDC,Delhi Hub,3.07,689.44,10,11,Delivered,Mumbai,478.73,Failed,TRK101465,3.3,On-time service
SHIP691333,ORD819022,SND3218,RCV8175,Ahmedabad,Hyderabad,DHL,Bangalore Hub,18.53,654.1,9,8,Lost,Kolkata,1444.23,Failed,TRK959356,,
SHIP337927,ORD795480,SND6893,RCV3001,Delhi,Delhi,DTDC,Chennai Hub,13.02,1350.8,8,10,Delivered,Delhi,664.46,Pending,TRK369141,4.4,Great experience
SHIP732483,ORD152756,SND1827,RCV2294,Chennai,Pune,India Post,Hyderabad Hub,16.33,1114.46,8,11,Out for Delivery,Mumbai,1405.96,Failed,TRK199374,,
SHIP245801,ORD498122,SND6271,RCV6072,Mumbai,Chennai,DHL,Chennai Hub,15.44,145.85,10,12,Returned,Bangalore,1868.92,Paid,TRK754595,,
SHIP352631,ORD377011,SND8400,RCV2276,Chennai,Pune,India Post,Hyderabad Hub,19.32,1714.21,7,7,Delayed,Bangalore,799.12,Paid,TRK843486,,
SHIP850934,ORD366242,SND6490,RCV7398,Chennai,Chennai,FedEx,Mumbai Hub,12.47,1298.64,5,4,Lost,Bangalore,185.52,Paid,TRK113664,,
SHIP339425,ORD112473,SND6295,RCV2589,Kolkata,Ahmedabad,FedEx,Hyderabad Hub,15.52,565.14,8,7,Returned,Hyderabad,537.98,Failed,TRK215142,,
SHIP904657,ORD301244,SND1637,RCV7530,Bangalore,Kolkata,Blue Dart,Mumbai Hub,9.61,1565.86,10,11,Delayed,Kolkata,1571.13,Pending,TRK599511,,
SHIP151057,ORD669254,SND8370,RCV7510,Bangalore,Chennai,FedEx,Mumbai Hub,10.6,1922,3,5,Lost,Mumbai,275.4,Paid,TRK550990,,
SHIP772531,ORD576750,SND9300,RCV8258,Mumbai,Delhi,India Post,Kolkata Hub,14.79,85.36,4,3,Out for Delivery,Delhi,1010.86,Failed,TRK499594,,
SHIP694113,ORD358835,SND1559,RCV2417,Pune,Bangalore,DHL,Bangalore Hub,0.97,161.9,3,6,Delivered,Bangalore,1481.36,Paid,TRK712700,3.1,Fast delivery!
SHIP894686,ORD704766,SND7525,RCV5183,Kolkata,Mumbai,India Post,Chennai Hub,0.64,293.13,2,1,Returned,Pune,1656.88,Pending,TRK177073,,
SHIP958560,ORD422983,SND2621,RCV5743,Bangalore,Chennai,Amazon Logistics,Hyderabad Hub,8.24,1310.84,1,-1,Out for Delivery,Bangalore,143.5,Pending,TRK644883,,
SHIP490927,ORD426917,SND8584,RCV9867,Hyderabad,Mumbai,Amazon Logistics,Mumbai Hub,5.81,338.24,9,10,In Transit,Chennai,836.42,Failed,TRK503621,,
SHIP705034,ORD877119,SND1917,RCV7751,Ahmedabad,Hyderabad,UPS,Chennai Hub,14.63,1318.85,2,2,Out for Delivery,Delhi,1895.73,Failed,TRK451306,,
SHIP789490,ORD492409,SND6504,RCV4492,Pune,Pune,UPS,Kolkata Hub,11.53,1673.12,5,5,Delivered,Pune,563.46,Failed,TRK430860,1.1,Late delivery
SHIP197997,ORD739351,SND9484,RCV8058,Chennai,Delhi,FedEx,Mumbai Hub,11.92,616.99,9,8,In Transit,Mumbai,1108.31,Paid,TRK446014,,
SHIP891735,ORD380159,SND8479,RCV2017,Mumbai,Kolkata,DTDC,Chennai Hub,5.64,1442.37,1,-1,In Transit,Chennai,1738.91,Pending,TRK516048,,
SHIP784411,ORD620746,SND4703,RCV4680,Chennai,Hyderabad,Blue Dart,Kolkata Hub,18.72,909.88,5,8,Delayed,Bangalore,530.32,Paid,TRK762331,,
SHIP272855,ORD586351,SND8149,RCV7509,Delhi,Kolkata,FedEx,Bangalore Hub,16.48,1841.79,7,5,Lost,Ahmedabad,539.32,Pending,TRK949037,,
SHIP119327,ORD248524,SND9643,RCV3609,Ahmedabad,Bangalore,FedEx,Kolkata Hub,12.11,469.76,6,7,Returned,Chennai,1028.25,Paid,TRK738403,,
SHIP655364,ORD824062,SND7578,RCV3794,Ahmedabad,Pune,Amazon Logistics,Hyderabad Hub,6.96,1428.76,7,6,Delivered,Pune,1562.25,Paid,TRK434879,2.7,On-time service
SHIP447275,ORD405414,SND8431,RCV4076,Delhi,Bangalore,India Post,Delhi Hub,12.02,1033.69,8,7,Out for Delivery,Hyderabad,1655.41,Failed,TRK437032,,
SHIP805398,ORD544793,SND5091,RCV7579,Delhi,Bangalore,DTDC,Kolkata Hub,8.55,322.69,3,2,Out for Delivery,Bangalore,685.27,Paid,TRK154172,,
SHIP866007,ORD782105,SND5073,RCV7222,Pune,Pune,DTDC,Mumbai Hub,17.93,237.54,9,7,Lost,Bangalore,992.75,Pending,TRK362467,,
SHIP205239,ORD470709,SND8318,RCV2845,Delhi,Bangalore,UPS,Kolkata Hub,6.63,1252.99,3,1,Delivered,Bangalore,1286.08,Failed,TRK998877,3.9,Fast delivery!
SHIP659387,ORD296696,SND7126,RCV9741,Hyderabad,Chennai,DTDC,Chennai Hub,18.21,538.74,8,7,In Transit,Ahmedabad,1994.21,Paid,TRK149359,,
SHIP346556,ORD329072,SND6128,RCV6420,Ahmedabad,Ahmedabad,FedEx,Chennai Hub,11.91,1620.94,1,4,In Transit,Delhi,1124.85,Pending,TRK431271,,
SHIP151074,ORD948027,SND6027,RCV1025,Delhi,Chennai,India Post,Mumbai Hub,5.18,1563.21,2,5,Returned,Chennai,1401.5,Failed,TRK489888,,
SHIP414405,ORD502180,SND2768,RCV3917,Chennai,Mumbai,FedEx,Mumbai Hub,5.19,1489.32,10,12,Returned,Hyderabad,1513.2,Paid,TRK750199,,
SHIP499488,ORD938677,SND9909,RCV4528,Delhi,Mumbai,FedEx,Mumbai Hub,11.54,442.22,9,9,Delivered,Mumbai,1433.63,Paid,TRK118023,3.4,
SHIP507013,ORD390393,SND3382,RCV1927,Delhi,Mumbai,Blue Dart,Bangalore Hub,6.45,584.03,4,5,In Transit,Chennai,442.23,Failed,TRK130433,,
SHIP328182,ORD865116,SND3490,RCV1930,Chennai,Delhi,Blue Dart,Hyderabad Hub,18.37,1627.21,4,2,In Transit,Kolkata,718.55,Failed,TRK815481,,
SHIP221869,ORD585843,SND7913,RCV4496,Ahmedabad,Ahmedabad,FedEx,Bangalore Hub,11.63,953.2,8,11,In Transit,Chennai,288.01,Pending,TRK870035,,
SHIP781426,ORD247901,SND1252,RCV1498,Hyderabad,Kolkata,UPS,Kolkata Hub,6.78,204.64,4,5,Lost,Hyderabad,127.72,Failed,TRK244109,,
SHIP713489,ORD155540,SND7386,RCV6292,Kolkata,Chennai,DHL,Delhi Hub,14.78,1364.93,4,7,Returned,Ahmedabad,517.46,Pending,TRK555781,,
SHIP896784,ORD568720,SND9405,RCV3404,Pune,Kolkata,DTDC,Hyderabad Hub,3.27,748.58,5,6,Lost,Pune,1761.13,Failed,TRK432401,,
SHIP947967,ORD710038,SND8559,RCV4629,Pune,Delhi,DHL,Chennai Hub,13.44,1394.8,7,9,In Transit,Ahmedabad,795.71,Pending,TRK543123,,
SHIP403568,ORD833450,SND5568,RCV6123,Ahmedabad,Hyderabad,DTDC,Mumbai Hub,15.24,726.6,9,9,Returned,Kolkata,1724.81,Paid,TRK386869,,
SHIP549107,ORD782860,SND9392,RCV9704,Mumbai,Kolkata,DHL,Bangalore Hub,14.35,1920.41,3,1,Lost,Mumbai,1677.21,Failed,TRK891857,,
SHIP934684,ORD984595,SND2045,RCV8358,Pune,Delhi,India Post,Delhi Hub,15.5,983.97,1,3,Lost,Bangalore,285.96,Pending,TRK520927,,
SHIP521567,ORD837555,SND7046,RCV7122,Chennai,Hyderabad,India Post,Bangalore Hub,16.35,174.16,6,6,Lost,Hyderabad,1783.5,Failed,TRK650758,,
SHIP560006,ORD866482,SND1916,RCV5567,Kolkata,Chennai,India Post,Kolkata Hub,7.59,894.71,7,7,Delivered,Chennai,727.31,Paid,TRK119237,1.2,Package damaged
SHIP780200,ORD270406,SND6109,RCV8618,Pune,Ahmedabad,DHL,Chennai Hub,8.03,1083.2,4,4,Out for Delivery,Pune,257.6,Paid,TRK408469,,
SHIP760129,ORD879754,SND6218,RCV8287,Pune,Hyderabad,India Post,Chennai Hub,14.74,394.01,8,9,In Transit,Mumbai,779.98,Pending,TRK818980,,
SHIP730639,ORD497109,SND9761,RCV2166,Bangalore,Chennai,Blue Dart,Hyderabad Hub,18.07,854.08,6,6,Returned,Delhi,1778.75,Paid,TRK418456,,
SHIP138127,ORD963106,SND1018,RCV3005,Ahmedabad,Bangalore,UPS,Chennai Hub,8.21,1025.3,1,1,Returned,Delhi,256.38,Paid,TRK412515,,
SHIP253999,ORD765327,SND8289,RCV3278,Ahmedabad,Hyderabad,Blue Dart,Chennai Hub,16.84,1991.83,6,8,In Transit,Chennai,1875.91,Pending,TRK232629,,
SHIP522216,ORD662298,SND5644,RCV2912,Hyderabad,Ahmedabad,UPS,Delhi Hub,15.2,1321.32,4,6,Lost,Mumbai,1612.77,Paid,TRK468519,,
SHIP352775,ORD492895,SND3772,RCV1014,Mumbai,Chennai,Blue Dart,Hyderabad Hub,8.43,1281.22,1,-1,Delivered,Chennai,1126.88,Paid,TRK658678,2.1,
SHIP222802,ORD401157,SND7876,RCV6500,Hyderabad,Ahmedabad,India Post,Delhi Hub,18.6,606.26,1,2,Lost,Hyderabad,1689.55,Failed,TRK593556,,
SHIP959032,ORD173814,SND8108,RCV6949,Ahmedabad,Mumbai,DHL,Mumbai Hub,16.18,250.36,7,7,Lost,Mumbai,555.94,Pending,TRK879953,,
SHIP400463,ORD923630,SND7408,RCV2511,Delhi,Mumbai,FedEx,Kolkata Hub,14.35,668.93,9,11,Delayed,Mumbai,1161.39,Paid,TRK373094,,
SHIP345905,ORD507678,SND3588,RCV8459,Mumbai,Hyderabad,DTDC,Chennai Hub,12.47,1894.38,8,11,Delayed,Chennai,1863.88,Failed,TRK541180,,
SHIP279973,ORD333000,SND4252,RCV9129,Hyderabad,Bangalore,India Post,Bangalore Hub,19.48,1551.02,8,11,Returned,Chennai,1563.73,Paid,TRK469495,,
SHIP272803,ORD932052,SND9674,RCV6234,Ahmedabad,Bangalore,UPS,Kolkata Hub,9.41,1491.1,6,5,Out for Delivery,Bangalore,1735.7,Failed,TRK620657,,
SHIP900023,ORD564754,SND4371,RCV2172,Bangalore,Bangalore,FedEx,Delhi Hub,11.24,1645.36,1,2,Delayed,Kolkata,1254.36,Failed,TRK959759,,
SHIP102526,ORD451314,SND5796,RCV6671,Kolkata,Pune,India Post,Kolkata Hub,12.06,802.86,1,-1,In Transit,Ahmedabad,1644.89,Pending,TRK487196,,
SHIP874164,ORD360030,SND8575,RCV9497,Hyderabad,Ahmedabad,DHL,Delhi Hub,3.48,641.74,3,4,Delivered,Ahmedabad,782.21,Failed,TRK833519,4.4,
SHIP273864,ORD497603,SND9113,RCV8274,Pune,Delhi,India Post,Mumbai Hub,14.72,1989.95,7,8,In Transit,Delhi,505.66,Failed,TRK619243,,
SHIP790512,ORD285219,SND2710,RCV9529,Bangalore,Kolkata,UPS,Mumbai Hub,16.39,1099.27,10,10,Delivered,Kolkata,99.23,Failed,TRK487593,3.7,Great experience
SHIP496644,ORD928592,SND4826,RCV5077,Delhi,Pune,DTDC,Delhi Hub,18.53,1995.5,3,3,Delayed,Bangalore,99.89,Pending,TRK332486,,
SHIP607642,ORD417811,SND7700,RCV5468,Chennai,Mumbai,DHL,Kolkata Hub,2.57,1641.27,1,2,Returned,Delhi,1006.52,Failed,TRK640290,,
SHIP542120,ORD163748,SND5366,RCV6298,Delhi,Kolkata,India Post,Hyderabad Hub,5.11,657.23,1,3,Delivered,Kolkata,328.86,Paid,TRK857501,2.6,On-time service
SHIP803170,ORD971152,SND1761,RCV6666,Hyderabad,Mumbai,Amazon Logistics,Chennai Hub,10.07,1014.16,3,5,Returned,Hyderabad,1461.52,Failed,TRK494851,,
SHIP743170,ORD529480,SND5976,RCV8126,Chennai,Hyderabad,Amazon Logistics,Bangalore Hub,0.68,664.49,8,7,Delayed,Delhi,217.87,Paid,TRK324344,,
SHIP701668,ORD225600,SND7119,RCV5641,Ahmedabad,Bangalore,India Post,Chennai Hub,9.48,1692.05,4,3,Delivered,Bangalore,1694.23,Paid,TRK307436,5,Great experience
SHIP551281,ORD746830,SND7721,RCV5423,Delhi,Ahmedabad,FedEx,Kolkata Hub,11.02,1433.04,9,10,Lost,Chennai,96.43,Pending,TRK771586,,
SHIP773377,ORD945936,SND5028,RCV3709,Pune,Chennai,DTDC,Hyderabad Hub,8.46,1189.36,2,5,Lost,Chennai,1049.76,Failed,TRK882547,,
SHIP945694,ORD926076,SND4133,RCV2463,Chennai,Delhi,India Post,Mumbai Hub,13.23,209.63,5,5,Lost,Bangalore,923.42,Failed,TRK873179,,
SHIP295847,ORD898438,SND7800,RCV6615,Chennai,Chennai,DTDC,Chennai Hub,5.66,94.95,4,5,Out for Delivery,Bangalore,562.28,Failed,TRK691123,,
